identifier,collection,name,url,thumbnailUrl,owner,rank,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2,priceCurrency,priceAmount,level,character_tokens,health,shield,talent_points_available,talent_points_total,earn_rate,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
CEA-2d29f9-01d6,CEA-2d29f9,Genesis Cantina Elrond Ape #1374,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1374.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-60b87cac,erd19mmjmx748nyz4qwlyep4lz0jxuq84ulpw2k5uzz6nn03838j8dvsh5e9ex,1786,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,None,None,None,None,Hoodie Blue,Pilot Pants Blue,Dagger Holster Brown,Artic,Cold Blooded,Black Widow,,,1,0,2700,1400,0,0,1.0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01d7,CEA-2d29f9,Genesis Cantina Elrond Ape #480,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/480.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-83b6b352,erd1v6xfeknwhqejgc6e258hard04e89mtm9auxhu6s3pqxhtkzrakvsc5dcv9,1222,Genesis Cantina Elrond Ape,Gold,Default,Grey Closed,Augmented,None,None,Tribal,None,Company Armor Black,Tactical Pants Blue,Dagger Holster Brown,Golden,Brawler,Explosive Weapons Proficiency,,,1,18,2800,1500,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0
CEA-2d29f9-01d8,CEA-2d29f9,Genesis Cantina Elrond Ape #1639,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1639.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ad8a3b90,erd1qte0yeqz5k0npkc2gzzvd3pkx3tjnvrkcqfunufan8gecuad923qvmhgg6,1614,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,None,Cigar,None,None,Large Vest Brown,Tactical Pants Green,Titan Bags Green,Desert,Perseverance,Overshield,,,2,1,2652,1376,0,0,1.08,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01d9,CEA-2d29f9,Genesis Cantina Elrond Ape #437,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/437.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3df81575,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1184,Genesis Cantina Elrond Ape,Gold,Default,Camo Closed,Camo,None,None,Punk,Red Dad Hat,Pilot Armor Blue,Pilot Pants Black,Tactical Bags Green,Golden,Precision Weapons Proficiency,Black Widow,,,7,2049,3489,1867,5,5,1.6,0,0,0,0,0,0,10,0,2,1,0,0,1,0,1,0,0,0,10,0,0
CEA-2d29f9-01da,CEA-2d29f9,Genesis Cantina Elrond Ape #894,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/894.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-612835c9,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,855,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,Steampunk,Party Blower,Punk,None,T Shirt Red,Rogue Pants Red,Dual Grenades 1 Blue,Artic,Hodler,Galvanized,,,4,184,2940,1523,0,0,1.27,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01db,CEA-2d29f9,Genesis Cantina Elrond Ape #1911,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1911.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-5120dba6,erd1dauag22s3apmvn355ccv6a2unhjdsajk873n9enc2wemp334mjvs7aw2tz,1765,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Monolaser,None,None,None,Leather Vest Black,Company Pants Black,Company Bags Blue,Desert,Black Widow,Overshield,,,10,546,3782,1963,20,20,2.03,0,2,0,0,0,10,10,3,1,0,0,2,1,0,1,0,0,0,0,0,0
CEA-2d29f9-01dc,CEA-2d29f9,Genesis Cantina Elrond Ape #630,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/630.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8f6b8086,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,786,Genesis Cantina Elrond Ape,Gold,Augmented,Camo Open,Camo,None,Candy Cane,Punk,None,Company Armor Black,Rogue Pants Green,Quad Grenades 1 Blue,Golden,Automatic Weapons Proficiency,Resilience,,,5,1041,3178,1700,0,0,1.37,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0
CEA-2d29f9-01dd,CEA-2d29f9,Genesis Cantina Elrond Ape #376,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/376.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-45177448,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,611,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,MetaScreen Red,Pacifier,None,None,Mercenary Armor Mk.2 Green,Pilot Pants Orange,Titan Bags Black,Outworld,Black Widow,Cold Blooded,,,2,42,2958,1629,0,0,1.08,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01de,CEA-2d29f9,Genesis Cantina Elrond Ape #1042,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1042.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2f1d8eae,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1114,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,Love Glasses,Party Blower,None,None,T Shirt Red,Tactical Pants Black,Pilot Bags Red,Artic,Precision Weapons Proficiency,Elemental Weapons Proficiency,,,4,998,2940,1523,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
CEA-2d29f9-01df,CEA-2d29f9,Genesis Cantina Elrond Ape #786,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/786.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-0f7f96f7,erd1m66p5txzmru60n6u959lcs86x7evg3unyxljru87tgvvf0ufh40qgegaru,246,Genesis Cantina Elrond Ape,Silver,Default,Grey Open,Augmented,Love Glasses,Octopus Tentacle,Tribal,Bowler,Leather Vest Brown,Rogue Pants Orange,Dagger Holster Green,Artic,Nano Meds,Overshield,,,1,0,2700,1400,0,0,1.0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01e0,CEA-2d29f9,Genesis Cantina Elrond Ape #397,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/397.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-a6a8d32e,erd1tusgsdze5u9ugaraa54z289acj95c3amh75nynjeast0dmzrdlcsmx8m0q,242,Genesis Cantina Elrond Ape,Gold,Default,Grey Closed,Augmented,Cyborg,Mustache,None,Japanese Headband,Mercenary Armor Blue,Company Pants Orange,Quad Grenades 2 Orange,Golden,Perseverance,Elemental Weapons Proficiency,,,1,1,2800,1500,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
CEA-2d29f9-01e1,CEA-2d29f9,Genesis Cantina Elrond Ape #405,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/405.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4855efbd,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,564,Genesis Cantina Elrond Ape,Gold,Default,Camo Closed,Camo,Green Visor,None,Punk,Bowler,Company Armor Mk.2 Black,Rogue Pants Black,Tech Belt Red,Golden,Overshield,Overachiever,,,2,17,2856,1528,0,0,1.08,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01e2,CEA-2d29f9,Genesis Cantina Elrond Ape #1452,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1452.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b03cdc5a,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1869,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,None,None,Hoodie Red,Tactical Pants Green,Titan Bags Blue,Desert,Stonewall,Overshield,,,3,13,2731,1417,0,0,1.17,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01e3,CEA-2d29f9,Genesis Cantina Elrond Ape #2111,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2111.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-04173063,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,2019,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Cybermeta Tokyo,None,None,None,T Shirt Orange,Tactical Pants Green,None,Desert,Hodler,Cold Blooded,,,3,201,2731,1417,0,0,1.17,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01e4,CEA-2d29f9,Genesis Cantina Elrond Ape #228,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/228.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4e3d20ae,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,236,Genesis Cantina Elrond Ape,Epic,Default,Grey Open,Augmented,MetaScreen EAC,Pipe,None,Party,Mercenary Armor Black,Rogue Pants Orange,Dual Grenades 1 Black,Outworld,Grounded,Scavenger,,,10,3312,4218,2322,20,20,2.03,2,2,10,0,1,0,1,2,0,2,1,0,1,13,5,0,0,0,0,0,0
CEA-2d29f9-01e5,CEA-2d29f9,Genesis Cantina Elrond Ape #2036,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2036.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-0391ee19,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1974,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,None,None,T Shirt Green,Tactical Pants Orange,Tactical Bags Green,Desert,Precision Weapons Proficiency,Black Widow,,,5,64,2951,1531,0,0,1.37,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0
CEA-2d29f9-01e6,CEA-2d29f9,Genesis Cantina Elrond Ape #1089,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1089.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-78b5f861,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,474,Genesis Cantina Elrond Ape,Silver,Default,Camo Closed,Camo,Love Glasses,Mustache,None,Viking,Company Armor Blue,Mercenary Pants Black,Titan Bags Green,Artic,Nano Meds,Galvanized,,,5,533,3064,1587,0,0,1.37,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01e7,CEA-2d29f9,Genesis Cantina Elrond Ape #1286,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1286.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-97267d30,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,959,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,Cyborg,None,Punk,Bowler,Bandolier,Mercenary Pants Black,Titan Bags Brown,Artic,Adrenaline Rush,Overshield,,,4,1,2940,1523,0,0,1.27,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01e8,CEA-2d29f9,Genesis Cantina Elrond Ape #430,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/430.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-856b18d6,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,763,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,Steampunk,Party Blower,None,None,Mercenary Armor Mk.2 Blue,Tactical Pants Blue,Waistband Blue,Golden,Black Widow,Scavenger,,,5,2360,3178,1700,0,0,1.37,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0
CEA-2d29f9-01e9,CEA-2d29f9,Genesis Cantina Elrond Ape #164,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/164.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b62ecbbd,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,334,Genesis Cantina Elrond Ape,Epic,Default,Platinum Closed,Platinum,MetaScreen Red,None,None,Gold Crown,Company Armor Mk.2 Red,Company Pants Orange,Mortars Black,Outworld,Galvanized,Stonewall,,,6,327,3443,1896,0,0,1.48,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01ea,CEA-2d29f9,Genesis Cantina Elrond Ape #1455,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1455.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-0297b6a5,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1732,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Candy Cane,None,None,Company Armor Black,Tactical Pants Black,Company Bags Blue,Desert,Overshield,Elemental Weapons Proficiency,,,4,5,2832,1469,0,0,1.27,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
CEA-2d29f9-01eb,CEA-2d29f9,Genesis Cantina Elrond Ape #208,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/208.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-63a01bb1,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,753,Genesis Cantina Elrond Ape,Epic,Default,Gold Closed,Gold,None,None,Punk,Paint,Pilot Armor White,Pilot Pants Blue,Mortars Brown,Outworld,Overshield,Explosive Weapons Proficiency,,,6,1556,3443,1896,0,0,1.48,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
CEA-2d29f9-01ec,CEA-2d29f9,Genesis Cantina Elrond Ape #408,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/408.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-11882c13,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,257,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,3D Glasses,Bubble Gum,None,Green Dad Hat,Tactical Vest Orange,Tactical Pants Orange,Mortars Black,Golden,Escape Artist,Scavenger,,,7,1690,3489,1867,5,5,1.6,0,1,0,0,0,0,1,0,0,0,1,0,11,10,1,0,0,0,0,0,0
CEA-2d29f9-01ed,CEA-2d29f9,Genesis Cantina Elrond Ape #1098,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1098.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e7ad6c46,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,931,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,Monolaser,Pacifier,Punk,None,Tactical Vest Brown,Company Pants Blue,Company Bags Black,Artic,Nano Meds,Hodler,,,1,19,2700,1400,0,0,1.0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01ee,CEA-2d29f9,Genesis Cantina Elrond Ape #93,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/93.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-69f544c5,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,277,Genesis Cantina Elrond Ape,Legendary,Augmented,Zombie Closed,Zombie,None,None,None,Welding Helmet,Mercenary Armor Mk.2 Orange,Pilot Pants Orange,Titan Bags Blue,Neon,Adrenaline Rush,Galvanized,,,20,30,7336,4266,70,70,4.47,3,0,0,0,16,8,3,18,7,3,6,4,8,7,5,2,0,0,0,0,0
CEA-2d29f9-01ef,CEA-2d29f9,Genesis Cantina Elrond Ape #1892,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1892.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-48b3e225,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1486,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,None,Bone,Punk,None,T Shirt Orange,Tactical Pants Green,Company Bags Blue,Desert,Grounded,Perseverance,,,6,1821,3088,1602,0,0,1.48,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01f0,CEA-2d29f9,Genesis Cantina Elrond Ape #1003,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1003.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-12f414f4,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,399,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,Love Glasses,Rose,Punk,Dandy,Company Armor Mk.2 Blue,Rogue Pants Black,Company Bags Blue,Artic,Cold Blooded,Elemental Weapons Proficiency,,,1,18,2700,1400,0,0,1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
CEA-2d29f9-01f1,CEA-2d29f9,Genesis Cantina Elrond Ape #1716,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1716.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8a2d5708,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,1522,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,None,Party Blower,None,None,Hoodie Orange,Tactical Pants Blue,Titan Bags Black,Desert,Precision Weapons Proficiency,Cool Moves,EGLD,2.0,1,0,2600,1350,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0
CEA-2d29f9-01f2,CEA-2d29f9,Genesis Cantina Elrond Ape #1070,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1070.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-c9c93085,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1438,Genesis Cantina Elrond Ape,Silver,Default,Blue Closed,Blue,Green Visor,None,None,None,Pilot Armor Black,Tactical Pants Blue,Tech Belt Red,Artic,Galvanized,Scatter Weapons Proficiency,,,7,978,3364,1743,5,5,1.6,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,1,10,1,0,1
CEA-2d29f9-01f3,CEA-2d29f9,Genesis Cantina Elrond Ape #1569,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1569.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-19dfa305,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1431,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Rose,Punk,None,T Shirt Green,Tactical Pants Brown,Titan Bags Red,Desert,Perseverance,Precision Weapons Proficiency,,,1,19,2600,1350,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0
CEA-2d29f9-01f4,CEA-2d29f9,Genesis Cantina Elrond Ape #1619,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1619.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ea42520d,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1355,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,Cyborg,None,Tribal,None,Tactical Vest Black,Tactical Pants Black,Company Bags Blue,Desert,Brawler,Stonewall,,,3,354,2731,1417,0,0,1.17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
CEA-2d29f9-01f5,CEA-2d29f9,Genesis Cantina Elrond Ape #298,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/298.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-38c1a27a,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,422,Genesis Cantina Elrond Ape,Epic,Default,Platinum Closed,Platinum,MetaScreen Matrix,None,None,Black Beanie,Titan Armor Blue,Company Pants Red,Tech Belt Black,Outworld,Grounded,Explosive Weapons Proficiency,,,7,508,3613,1990,5,5,1.6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
CEA-2d29f9-01f6,CEA-2d29f9,Genesis Cantina Elrond Ape #476,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/476.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2a5e462b,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,417,Genesis Cantina Elrond Ape,Gold,Default,Gold Open,Gold,Green Visor,Wheat,None,Red Beanie,Mercenary Armor Mk.2 Black,Pilot Pants White,Dual Grenades 1 Blue,Golden,Escape Artist,Cold Blooded,,,11,788,4296,2298,25,25,2.2,0,0,0,0,0,1,0,1,0,3,10,0,10,0,0,1,0,0,0,0,0
CEA-2d29f9-01f7,CEA-2d29f9,Genesis Cantina Elrond Ape #240,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/240.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-13fec0c4,erd1n0a636gkmnghe37kaxqfrzlmf6ysy6k9rqfsdj8xcdlaejzwy3dsn774v3,420,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,Green Visor,Candy Cane,None,Tennis Headband,Rogue Armor Green,Pilot Pants Black,Titan Bags Black,Outworld,Scatter Weapons Proficiency,Automatic Weapons Proficiency,,,6,2727,3443,1896,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
CEA-2d29f9-01f8,CEA-2d29f9,Genesis Cantina Elrond Ape #1629,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1629.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-0623b464,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1510,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Bone,Punk,None,Company Armor Black,Pilot Pants White,Company Bags Green,Desert,Hodler,Nano Meds,,,1,190,2600,1350,0,0,1.0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-01f9,CEA-2d29f9,Genesis Cantina Elrond Ape #41,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/41.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b7adef9a,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,143,Genesis Cantina Elrond Ape,Legendary,Default,Gold Closed,Gold,3D Glasses,None,None,Party,Pilot Armor Mk.2 White,Cyborg Legs Orange,Dagger Holster Brown,Neon,Overachiever,Escape Artist,,,11,8355,4604,2677,25,25,2.2,12,0,1,2,0,1,0,1,3,5,0,0,10,0,0,1,3,1,1,2,2
CEA-2d29f9-01fa,CEA-2d29f9,Genesis Cantina Elrond Ape #1227,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1227.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-708b1eb7,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,777,Genesis Cantina Elrond Ape,Silver,Default,Camo Open,Camo,None,Bone,Punk,Sponge,Tactical Vest Green,Company Pants Orange,Pilot Bags Blue,Artic,Automatic Weapons Proficiency,Precision Weapons Proficiency,,,3,17,2836,1469,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0
